capacity_bytes,date,failure,model,serial_number,smart_1_raw,smart_12_raw,smart_183_raw,smart_184_raw,smart_187_raw,smart_188_raw,smart_189_raw,smart_190_raw,smart_192_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw,smart_3_normalized,smart_4_raw,smart_5_raw,smart_7_raw,smart_9_raw
4000787030016,2016-02-28,0,ST4000DM000,Z305D47V,116355920.0,4.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,6243.0,28.0,0.0,0.0,0.0,388.0,1572524152.0,292160338.0,96.0,4.0,0.0,7172106.0,461.0
4000787030016,2016-08-05,0,ST4000DM000,Z302S7HN,47793520.0,5.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,10016.0,35.0,0.0,0.0,0.0,7558.0,30034743912.0,12476528226.0,95.0,5.0,0.0,366127262.0,7666.0
4000787030016,2016-01-11,0,ST4000DM000,Z3011G19,133516784.0,8.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,4595.0,24.0,0.0,0.0,0.0,15321.0,23430497434.0,129398199846.0,91.0,8.0,0.0,180854301.0,15350.0
4000787030016,2016-01-11,0,ST4000DM000,Z300XG5F,217433168.0,10.0,0.0,0.0,0.0,0.0,10.0,28.0,7.0,20102.0,28.0,0.0,0.0,0.0,182733678593383.0,23736756032.0,159025421854.0,92.0,10.0,0.0,294044034.0,18167.0
4000787030016,2016-01-11,0,ST4000DM000,Z303H8TP,177769600.0,7.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,9139.0,27.0,0.0,0.0,0.0,271639501606415.0,9758919562.0,15137012441.0,93.0,7.0,0.0,236979083.0,3638.0
4000787030016,2016-01-11,0,ST4000DM000,Z302G4XH,83804312.0,12.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,10335.0,33.0,0.0,0.0,0.0,7398.0,14836056713.0,102095260198.0,92.0,13.0,0.0,347503302.0,7450.0
4000787030016,2016-07-09,0,ST4000DM000,Z305C49L,25744872.0,7.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,36930.0,24.0,0.0,0.0,0.0,4848.0,20785539392.0,2326347964.0,93.0,7.0,0.0,188486762.0,5113.0
4000787030016,2016-07-09,0,ST4000DM000,S301L2QT,2328840.0,7.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,7672.0,24.0,0.0,0.0,0.0,6038.0,25846284224.0,4444822841.0,93.0,7.0,0.0,256675136.0,6104.0
4000787030016,2016-01-11,0,ST4000DM000,Z302519N,91699432.0,2.0,0.0,0.0,0.0,0.0,1.0,23.0,0.0,1422.0,23.0,0.0,0.0,0.0,10897.0,17600092992.0,132202157477.0,98.0,2.0,0.0,616087222.0,10903.0
4000787030016,2016-02-19,0,ST4000DM000,Z305CTD1,54595592.0,5.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,1784.0,38.0,0.0,0.0,0.0,450.0,3462011256.0,353751456.0,95.0,5.0,0.0,19387046.0,515.0
4000787030016,2016-01-11,0,ST4000DM000,S30116RR,162086808.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,19902.0,24.0,0.0,0.0,0.0,6317.0,25526882416.0,13843642620.0,99.0,1.0,0.0,276617636.0,6442.0
4000787030016,2016-04-02,0,ST4000DM000,Z305KVN2,205770416.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,2380.0,22.0,0.0,0.0,0.0,397.0,2838032928.0,310752873.0,99.0,1.0,0.0,13569665.0,438.0
4000787030016,2016-01-11,0,ST4000DM000,Z3012XN8,162791392.0,5.0,0.0,0.0,0.0,0.0,7.0,31.0,3.0,6054.0,31.0,0.0,0.0,0.0,139698106285182.0,20228049666.0,68332611502.0,95.0,5.0,0.0,147071898.0,15560.0
4000787030016,2016-01-11,0,ST4000DM000,Z300XEMJ,194918400.0,4.0,1.0,0.0,0.0,0.0,14.0,36.0,1.0,1231.0,36.0,0.0,0.0,0.0,124017180691189.0,24809418852.0,229447647122.0,96.0,4.0,0.0,479150956.0,19211.0
